================ Training Loss (Tue Jan  9 20:02:37 2024) ================
(epoch: 34, iters: 336, time: 0.009, data: 0.002) G_GAN: 1.242 G_L1: 32.199 D_real: 0.735 D_fake: 0.062 
(epoch: 35, iters: 228, time: 0.009, data: 0.003) G_GAN: 1.284 G_L1: 32.079 D_real: 1.026 D_fake: 0.084 
(epoch: 36, iters: 120, time: 0.031, data: 0.002) G_GAN: 1.384 G_L1: 30.905 D_real: 0.481 D_fake: 0.139 
(epoch: 37, iters: 12, time: 0.014, data: 0.002) G_GAN: 2.819 G_L1: 29.847 D_real: 0.050 D_fake: 0.561 
(epoch: 37, iters: 312, time: 0.008, data: 0.002) G_GAN: 2.353 G_L1: 31.933 D_real: 0.030 D_fake: 0.894 
(epoch: 38, iters: 204, time: 0.022, data: 0.002) G_GAN: 2.746 G_L1: 30.838 D_real: 0.070 D_fake: 0.394 
(epoch: 39, iters: 96, time: 0.020, data: 0.002) G_GAN: 1.741 G_L1: 28.525 D_real: 0.356 D_fake: 0.734 
(epoch: 39, iters: 396, time: 0.009, data: 0.002) G_GAN: 1.989 G_L1: 33.210 D_real: 0.496 D_fake: 0.076 
(epoch: 40, iters: 288, time: 0.009, data: 0.003) G_GAN: 1.403 G_L1: 29.406 D_real: 0.406 D_fake: 0.292 
(epoch: 41, iters: 180, time: 0.009, data: 0.004) G_GAN: 2.653 G_L1: 32.697 D_real: 0.157 D_fake: 0.554 
(epoch: 42, iters: 72, time: 0.021, data: 0.002) G_GAN: 2.903 G_L1: 30.235 D_real: 0.326 D_fake: 0.101 
(epoch: 42, iters: 372, time: 0.009, data: 0.001) G_GAN: 2.095 G_L1: 29.286 D_real: 0.748 D_fake: 0.088 
(epoch: 43, iters: 264, time: 0.009, data: 0.003) G_GAN: 1.551 G_L1: 30.900 D_real: 0.091 D_fake: 0.395 
(epoch: 44, iters: 156, time: 0.023, data: 0.002) G_GAN: 1.762 G_L1: 29.950 D_real: 0.260 D_fake: 0.225 
(epoch: 45, iters: 48, time: 0.028, data: 0.002) G_GAN: 2.220 G_L1: 30.022 D_real: 0.240 D_fake: 0.556 
(epoch: 45, iters: 348, time: 0.009, data: 0.001) G_GAN: 2.120 G_L1: 29.223 D_real: 0.383 D_fake: 0.279 
(epoch: 46, iters: 240, time: 0.009, data: 0.003) G_GAN: 1.128 G_L1: 30.999 D_real: 1.600 D_fake: 0.055 
(epoch: 47, iters: 132, time: 0.009, data: 0.002) G_GAN: 1.856 G_L1: 30.662 D_real: 0.513 D_fake: 0.105 
(epoch: 48, iters: 24, time: 0.032, data: 0.003) G_GAN: 3.051 G_L1: 29.066 D_real: 0.020 D_fake: 2.049 
(epoch: 48, iters: 324, time: 0.009, data: 0.002) G_GAN: 1.458 G_L1: 29.873 D_real: 0.239 D_fake: 0.172 
(epoch: 49, iters: 216, time: 0.009, data: 0.003) G_GAN: 2.354 G_L1: 30.851 D_real: 0.125 D_fake: 1.035 
(epoch: 50, iters: 108, time: 0.010, data: 0.002) G_GAN: 2.135 G_L1: 29.257 D_real: 0.476 D_fake: 0.147 
(epoch: 50, iters: 408, time: 0.020, data: 0.002) G_GAN: 1.245 G_L1: 26.819 D_real: 0.462 D_fake: 0.890 
(epoch: 51, iters: 300, time: 0.014, data: 6.974) G_GAN: 0.915 G_L1: 31.699 D_real: 0.295 D_fake: 0.269 
(epoch: 52, iters: 192, time: 0.009, data: 0.002) G_GAN: 0.849 G_L1: 28.030 D_real: 1.354 D_fake: 0.091 
(epoch: 53, iters: 84, time: 0.009, data: 0.002) G_GAN: 0.695 G_L1: 25.739 D_real: 2.059 D_fake: 0.073 
(epoch: 53, iters: 384, time: 0.024, data: 0.003) G_GAN: 0.481 G_L1: 28.594 D_real: 1.223 D_fake: 0.120 
(epoch: 54, iters: 276, time: 0.009, data: 0.002) G_GAN: 1.019 G_L1: 26.752 D_real: 0.894 D_fake: 0.140 
(epoch: 55, iters: 168, time: 0.009, data: 0.003) G_GAN: 1.402 G_L1: 29.924 D_real: 0.349 D_fake: 0.284 
(epoch: 56, iters: 60, time: 0.010, data: 0.002) G_GAN: 1.065 G_L1: 27.750 D_real: 0.700 D_fake: 0.135 
(epoch: 56, iters: 360, time: 0.023, data: 0.002) G_GAN: 2.152 G_L1: 28.858 D_real: 0.084 D_fake: 1.096 
(epoch: 57, iters: 252, time: 0.009, data: 0.002) G_GAN: 1.083 G_L1: 28.438 D_real: 0.516 D_fake: 0.346 
(epoch: 58, iters: 144, time: 0.009, data: 0.003) G_GAN: 2.085 G_L1: 28.845 D_real: 0.114 D_fake: 0.634 
(epoch: 59, iters: 36, time: 0.014, data: 0.004) G_GAN: 2.300 G_L1: 27.895 D_real: 0.132 D_fake: 0.698 
(epoch: 59, iters: 336, time: 0.024, data: 0.002) G_GAN: 1.984 G_L1: 29.693 D_real: 0.480 D_fake: 0.190 
(epoch: 60, iters: 228, time: 0.009, data: 0.003) G_GAN: 2.811 G_L1: 28.958 D_real: 0.212 D_fake: 0.894 
(epoch: 61, iters: 120, time: 0.009, data: 0.003) G_GAN: 1.439 G_L1: 27.676 D_real: 0.294 D_fake: 0.533 
(epoch: 62, iters: 12, time: 0.014, data: 0.002) G_GAN: 1.662 G_L1: 27.002 D_real: 0.106 D_fake: 1.021 
(epoch: 62, iters: 312, time: 0.025, data: 0.001) G_GAN: 2.325 G_L1: 27.182 D_real: 0.065 D_fake: 0.816 
(epoch: 63, iters: 204, time: 0.009, data: 0.004) G_GAN: 2.053 G_L1: 27.355 D_real: 0.224 D_fake: 0.196 
(epoch: 64, iters: 96, time: 0.009, data: 0.003) G_GAN: 1.891 G_L1: 26.984 D_real: 0.211 D_fake: 0.328 
(epoch: 64, iters: 396, time: 0.009, data: 0.003) G_GAN: 2.872 G_L1: 28.085 D_real: 0.147 D_fake: 0.892 
(epoch: 65, iters: 288, time: 0.024, data: 0.003) G_GAN: 1.941 G_L1: 23.328 D_real: 0.401 D_fake: 0.461 
(epoch: 66, iters: 180, time: 0.009, data: 0.002) G_GAN: 2.586 G_L1: 30.969 D_real: 0.138 D_fake: 0.374 
(epoch: 67, iters: 72, time: 0.014, data: 0.002) G_GAN: 1.118 G_L1: 26.555 D_real: 0.376 D_fake: 0.403 
(epoch: 67, iters: 372, time: 0.008, data: 0.002) G_GAN: 1.828 G_L1: 26.252 D_real: 0.436 D_fake: 0.113 
(epoch: 68, iters: 264, time: 0.025, data: 0.002) G_GAN: 1.093 G_L1: 28.107 D_real: 1.065 D_fake: 0.207 
(epoch: 69, iters: 156, time: 0.009, data: 0.003) G_GAN: 1.473 G_L1: 28.707 D_real: 0.507 D_fake: 0.175 
(epoch: 70, iters: 48, time: 0.011, data: 0.002) G_GAN: 2.182 G_L1: 27.950 D_real: 0.316 D_fake: 0.372 
(epoch: 70, iters: 348, time: 0.010, data: 0.002) G_GAN: 1.347 G_L1: 28.107 D_real: 0.418 D_fake: 0.190 
(epoch: 71, iters: 240, time: 0.027, data: 0.002) G_GAN: 1.136 G_L1: 24.477 D_real: 1.252 D_fake: 0.109 
